created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-01-30T16:44:26Z,1620100634933620700,1620100634933620737,"🗣️¡Vamos Vamos Azules... !💪🏻

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

¡Te esperamos en casa! 🔝

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mmHGFtixP6","🗣️¡Vamos Vamos Azules... !💪🏻

➡️ Disponible todas las localidades🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

¡Te esperamos en casa! 🔝

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mmHGFtixP6",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,65,323,FALSE,NA,FALSE,NA,es,FALSE,NA,263,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-30T15:37:24Z,1620083767569440800,1620083767569440768,"🗓️ Planificación semanal ⬇️

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/tKBakcLRDw","🗓️ Planificación semanal ⬇️

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/tKBakcLRDw",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,71,338,FALSE,NA,FALSE,NA,es,FALSE,NA,59,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-30T00:02:47Z,1619848564620038100,1619848564620038147,"📃Comunicado importante

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/K65WeqbgSg","📃Comunicado importante

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/K65WeqbgSg",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,104,535,FALSE,NA,FALSE,NA,pt,FALSE,NA,54,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-29T13:38:29Z,1619691454754087e3,1619691454754086913,"🔚 Pretemporada en 🇦🇷

🔥 Gracias Salsipuedes, Córdoba 👏🏼

🔜Seguimos en Guayaquil 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/O3uXbGFzYW","🔚 Pretemporada en 🇦🇷

🔥 Gracias Salsipuedes, Córdoba 👏🏼

🔜Seguimos en Guayaquil 💪🏻

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/O3uXbGFzYW",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,113,685,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T16:16:16Z,1619368772531548200,1619368772531548164,"🗣️¡Como no te voy a querer... !💙

#ExplosiónAzul

➡️ ENTRADAS A LA VENTA🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/KuDGgfsNuS","🗣️¡Como no te voy a querer... !💙

#ExplosiónAzul

➡️ ENTRADAS A LA VENTA🎫

🏟 Boleterías del estadio George Capwell
💻 En línea en https://t.co/Fumpk74IUC y https://t.co/4rZvc0tuyM
🏢 Puntos Red Activa Western Union

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/KuDGgfsNuS",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,88,387,FALSE,NA,FALSE,NA,es,FALSE,NA,244,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T14:50:28Z,1619347181613502500,1619347181613502465,"🔚 Final del partido

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/0afWKZ2H2o","🔚 Final del partido

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/0afWKZ2H2o",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619346416354332700,1619346416354332675,15447575,15447575,CSEmelec,,,,NA,FALSE,20,108,FALSE,NA,FALSE,NA,en,FALSE,NA,85,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T14:47:26Z,1619346416354332700,1619346416354332675,"🧭 90’ Gol de @ClubARacing

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡","🧭 90’ Gol de @ClubARacing

@CSEmelec 1️⃣ x 2️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619345560041046e3,1619345560041046017,15447575,15447575,CSEmelec,,,,NA,FALSE,3,53,FALSE,NA,FALSE,NA,en,NA,NA,91,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T14:44:02Z,1619345560041046e3,1619345560041046017,"⏱️ 87’ 2T

¡GGGGGOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLL ELÉCTRICO! ⚡️

Anota:
⚽️ Caín Fara

@CSEmelec 1️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡","⏱️ 87’ 2T

¡GGGGGOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLL ELÉCTRICO! ⚡️

Anota:
⚽️ Caín Fara

@CSEmelec 1️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",161934453874901e4,1619344538749009921,15447575,15447575,CSEmelec,,,,NA,FALSE,5,59,FALSE,NA,FALSE,NA,es,NA,NA,155,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T14:39:58Z,161934453874901e4,1619344538749009921,"85’ 2T

@CSEmelec 0️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mdniJFdnVg","85’ 2T

@CSEmelec 0️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/mdniJFdnVg",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619341998607175700,1619341998607175680,15447575,15447575,CSEmelec,,,,NA,FALSE,2,42,FALSE,NA,FALSE,NA,und,FALSE,NA,72,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-28T14:29:53Z,1619341998607175700,1619341998607175680,"⏱️ 75’ 2T

@CSEmelec 0️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/hDdwEOI9Oh","⏱️ 75’ 2T

@CSEmelec 0️⃣ x 1️⃣ @ClubARacing

#PorEmelec #SiempreJuntos🤜🏻🤛🏻⚡ https://t.co/hDdwEOI9Oh",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619340780652597200,1619340780652597249,15447575,15447575,CSEmelec,,,,NA,FALSE,2,29,FALSE,NA,FALSE,NA,und,FALSE,NA,75,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
